"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","govern","spirit","nation","time","america","will","law","shall","system","upon","must","fail","civil","can","peac"
"2","public","faith","world","hope","common","new","citizen","may","justic","american","peopl","place","find","govern","progress"
"3","busi","today","advanc","come","everi","know","respons","nation","feder","purpos","ideal","lie","direct","small","world"
"4","home","work","peopl","stori","less","build","problem","one","part","instrument","leadership","trust","call","help","prosper"
"5","cooper","yet","greater","generat","year","power","failur","measur","enforc","first","good","true","countri","use","human"
"6","protect","servic","respect","promis","face","courag","support","meet","whole","relat","mani","valu","live","must","countri"
"7","right","much","way","end","can","economi","enforc","duti","effect","order","everi","offic","life","task","unit"
"8","econom","oath","effort","long","let","remain","crimin","need","caus","parti","increas","polit","freedom","war","old"
"9","educ","presid","make","carri","now","histori","larg","action","mani","propos","opportun","restor","concern","accomplish","new"
"10","health","thank","polici","day","children","choic","duti","author","organ","settlement","belief","standard","commit","work","toward"
"11","power","moment","realiz","endur","danger","seek","share","constitut","activ","establish","confid","money","great","land","contribut"
"12","continu","american","recoveri","futur","birth","pledg","elect","congress","amend","controversi","aspir","high","communiti","whether","limit"
"13","equal","begin","field","great","man","demand","state","seek","essenti","justic","disciplin","moral","god","beyond","democraci"
"14","servic","hour","becom","pass","father","america","accept","ask","local","question","give","way","knowledg","hand","return"
"15","state","make","neighbor","freedom","last","road","liquor","execut","may","special","secur","fals","import","stimul","cultur"
"16","regul","storm","move","gift","lead","without","extend","given","nation","chang","believ","hand","thing","best","desir"
"17","stabil","see","put","word","women","confront","men","emerg","administr","practic","follow","profit","interest","face","die"
"18","develop","affirm","understand","courag","crisi","creat","life","balanc","state","among","constant","scienc","present","definit","earth"
"19","group","humbl","dedic","fear","travel","side","due","bring","abus","court","uniti","men","express","grow","sure"
"20","promot","old","oblig","forward","generat","age","evil","clear","delay","intern","class","mere","reach","liberti","advanc"
